url_path,views_total,views_unique
/acqxi/FlirWithFaceDet,38,11
/acqxi/FlirWithFaceDet/tree/main/thermal-pi,18,3
/acqxi/FlirWithFaceDet/actions/workflows/github-repo-stats.yml,13,1
/acqxi/FlirWithFaceDet/tree/github-repo-stats,11,1
/acqxi/FlirWithFaceDet/actions,9,1
/acqxi/FlirWithFaceDet/graphs/traffic,7,1
/acqxi/FlirWithFaceDet/tree/main/thermal-pi/01-flir,5,3
/acqxi/FlirWithFaceDet/tree/main/thermal-pi/ncs2,5,3
/acqxi/FlirWithFaceDet/branches,5,2
/acqxi/FlirWithFaceDet/tree/main/.github/workflows,4,2
