time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-22 00:00:00+00:00,7,6,88.0,2.0
2023-03-23 00:00:00+00:00,3,3,29.0,2.0
2023-03-24 00:00:00+00:00,3,2,12.0,1.0
2023-03-25 00:00:00+00:00,1,1,1.0,1.0
2023-03-26 00:00:00+00:00,1,1,74.0,2.0
2023-03-27 00:00:00+00:00,5,4,22.0,4.0
2023-03-28 00:00:00+00:00,4,4,20.0,2.0
2023-03-29 00:00:00+00:00,1,1,18.0,1.0
2023-03-30 00:00:00+00:00,1,1,1.0,1.0
2023-03-31 00:00:00+00:00,1,1,,
2023-04-01 00:00:00+00:00,1,1,,
2023-04-02 00:00:00+00:00,1,1,,
2023-04-03 00:00:00+00:00,1,1,,
